parent,label,ags,date,updated,confirmed,recovered,deaths,lon,lat,source,source_url,scraper
Baden-Württemberg,Alb-Donau-Kreis,08425,2020-03-30T19:00:00+02:00,1585587600000,217,0,0,9.727446,48.349318,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Baden-Baden,08211,2020-03-30T19:00:00+02:00,1585587600000,73,0,3,8.24377,48.755271,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Biberach (Kreis),08426,2020-03-30T19:00:00+02:00,1585587600000,216,0,2,9.790192,48.095416,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Böblingen (Kreis),08115,2020-03-30T19:00:00+02:00,1585587600000,413,0,8,9.011235,48.68124,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Bodenseekreis,08435,2020-03-30T19:00:00+02:00,1585587600000,186,0,1,9.315898,47.769623,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Breisgau-Hochschwarzwald (Kreis),08315,2020-03-30T19:00:00+02:00,1585587600000,392,0,7,8.038629,47.955893,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Calw (Kreis),08235,2020-03-30T19:00:00+02:00,1585587600000,295,0,2,8.737756,48.717931,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Emmendingen (Kreis),08316,2020-03-30T19:00:00+02:00,1585587600000,264,0,12,7.855804,48.12525,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Enzkreis,08236,2020-03-30T19:00:00+02:00,1585587600000,115,0,1,8.833684,48.96145,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Esslingen (Kreis),08116,2020-03-30T19:00:00+02:00,1585587600000,761,0,11,9.315444,48.73655,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Freiburg im Breisgau,08311,2020-03-30T19:00:00+02:00,1585587600000,414,0,11,7.834283,47.998194,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Freudenstadt (Kreis),08237,2020-03-30T19:00:00+02:00,1585587600000,154,0,0,8.42493,48.460659,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Göppingen (Kreis),08117,2020-03-30T19:00:00+02:00,1585587600000,361,0,9,9.621245,48.744151,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Heidelberg,08221,2020-03-30T19:00:00+02:00,1585587600000,148,0,0,8.681247,49.412388,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Heidenheim (Kreis),08135,2020-03-30T19:00:00+02:00,1585587600000,160,0,3,10.148996,48.680458,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Heilbronn (Kreis),08125,2020-03-30T19:00:00+02:00,1585587600000,390,0,5,9.273317,49.234789,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
Baden-Württemberg,Heilbronn,08121,2020-03-30T19:00:00+02:00,1585587600000,147,0,0,9.210942,49.142251,Sozialministerium Baden Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,regio
