parent,label,date,updated,confirmed,recovered,deaths,lon,lat,source,source_url,scraper
Berlin,Charlottenburg-Wilmersdorf,2020-03-19T20:00:00+01:00,1584644400000,91,6,0,13.270242,52.49832,LaGeSo Berlin,via E-Mail,regio
Berlin,Friedrichshain-Kreuzberg,2020-03-19T20:00:00+01:00,1584644400000,81,0,0,13.443621,52.511565,LaGeSo Berlin,via E-Mail,regio
Berlin,Lichtenberg,2020-03-19T20:00:00+01:00,1584644400000,25,0,0,13.4959,52.527931,LaGeSo Berlin,via E-Mail,regio
Berlin,Marzahn-Hellersdorf,2020-03-19T20:00:00+01:00,1584644400000,21,0,0,13.574036,52.515826,LaGeSo Berlin,via E-Mail,regio
Berlin,Mitte,2020-03-19T20:00:00+01:00,1584644400000,114,0,0,13.394087,52.520891,LaGeSo Berlin,via E-Mail,regio
Berlin,Neukölln,2020-03-19T20:00:00+01:00,1584644400000,58,0,0,13.443664,52.440484,LaGeSo Berlin,via E-Mail,regio
Berlin,Pankow,2020-03-19T20:00:00+01:00,1584644400000,73,0,0,13.434299,52.590515,LaGeSo Berlin,via E-Mail,regio
Berlin,Reinickendorf,2020-03-19T20:00:00+01:00,1584644400000,34,0,0,13.284953,52.591439,LaGeSo Berlin,via E-Mail,regio
Berlin,Spandau,2020-03-19T20:00:00+01:00,1584644400000,16,0,0,13.186056,52.544354,LaGeSo Berlin,via E-Mail,regio
Berlin,Steglitz-Zehlendorf,2020-03-19T20:00:00+01:00,1584644400000,70,0,0,13.272296,52.436132,LaGeSo Berlin,via E-Mail,regio
Berlin,Tempelhof-Schöneberg,2020-03-19T20:00:00+01:00,1584644400000,70,0,0,13.388943,52.456016,LaGeSo Berlin,via E-Mail,regio
Berlin,Treptow-Köpenick,2020-03-19T20:00:00+01:00,1584644400000,35,0,0,13.624591,52.424291,LaGeSo Berlin,via E-Mail,regio
Nordrhein-Westfalen,Aachen & Städteregion Aachen,2020-03-19T16:00:00+01:00,1584630000000,343,33,5,6.24194,50.75389,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Bielefeld,2020-03-19T16:00:00+01:00,1584630000000,49,0,0,8.577806,52.018202,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Bochum,2020-03-19T16:00:00+01:00,1584630000000,39,0,0,7.213937,51.474951,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Bonn,2020-03-19T16:00:00+01:00,1584630000000,76,0,0,7.114887,50.724104,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Borken (Kreis),2020-03-19T16:00:00+01:00,1584630000000,187,0,0,6.871077,51.849002,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Bottrop,2020-03-19T16:00:00+01:00,1584630000000,10,0,0,6.943227,51.52873,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Coesfeld (Kreis),2020-03-19T16:00:00+01:00,1584630000000,93,0,0,7.166349,51.941946,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Dortmund,2020-03-19T16:00:00+01:00,1584630000000,76,0,0,7.479247,51.507849,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Duisburg,2020-03-19T16:00:00+01:00,1584630000000,63,0,0,6.75966,51.47994,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Düren (Kreis),2020-03-19T16:00:00+01:00,1584630000000,80,0,0,6.48195,50.801834,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Düsseldorf,2020-03-19T16:00:00+01:00,1584630000000,154,0,1,6.801324,51.226297,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Ennepe-Ruhr-Kreis,2020-03-19T16:00:00+01:00,1584630000000,38,0,0,7.310078,51.366277,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Essen,2020-03-19T16:00:00+01:00,1584630000000,154,0,1,7.019603,51.468739,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Euskirchen (Kreis),2020-03-19T16:00:00+01:00,1584630000000,26,0,0,6.790875,50.655816,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Gelsenkirchen,2020-03-19T16:00:00+01:00,1584630000000,36,0,0,7.07669,51.547434,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Gütersloh (Kreis),2020-03-19T16:00:00+01:00,1584630000000,100,0,0,8.390601,51.903311,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Hagen,2020-03-19T16:00:00+01:00,1584630000000,22,0,0,7.487553,51.371236,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Hamm,2020-03-19T16:00:00+01:00,1584630000000,26,0,0,7.821892,51.674274,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Heinsberg (Kreis),2020-03-19T16:00:00+01:00,1584630000000,845,33,9,6.098857,51.06395,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Herford (Kreis),2020-03-19T16:00:00+01:00,1584630000000,52,0,0,8.667448,52.115529,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Herne,2020-03-19T16:00:00+01:00,1584630000000,13,0,0,7.20971,51.540584,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Hochsauerlandkreis,2020-03-19T16:00:00+01:00,1584630000000,82,0,0,8.301315,51.24509,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Höxter (Kreis),2020-03-19T16:00:00+01:00,1584630000000,7,0,0,9.380873,51.775929,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Kleve (Kreis),2020-03-19T16:00:00+01:00,1584630000000,74,0,0,6.126757,51.7794,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Köln,2020-03-19T16:00:00+01:00,1584630000000,430,9,1,6.934628,50.94718,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Krefeld,2020-03-19T16:00:00+01:00,1584630000000,53,0,0,6.585484,51.337869,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Leverkusen,2020-03-19T16:00:00+01:00,1584630000000,33,0,0,7.029976,51.048254,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Lippe (Kreis),2020-03-19T16:00:00+01:00,1584630000000,107,0,0,8.894953,51.962056,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Märkischer Kreis,2020-03-19T16:00:00+01:00,1584630000000,34,0,0,7.734746,51.285488,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Mettmann (Kreis),2020-03-19T16:00:00+01:00,1584630000000,87,0,0,6.970846,51.252811,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Minden-Lübbecke (Kreis),2020-03-19T16:00:00+01:00,1584630000000,121,0,0,8.592771,52.383867,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Mönchengladbach,2020-03-19T16:00:00+01:00,1584630000000,46,0,0,6.428687,51.1821,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Mülheim an der Ruhr,2020-03-19T16:00:00+01:00,1584630000000,21,0,0,6.894836,51.437117,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Münster,2020-03-19T16:00:00+01:00,1584630000000,158,0,0,7.624747,51.954044,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Oberbergischer Kreis,2020-03-19T16:00:00+01:00,1584630000000,50,0,0,7.579776,50.971448,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Oberhausen,2020-03-19T16:00:00+01:00,1584630000000,18,0,0,6.862345,51.498071,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Olpe (Kreis),2020-03-19T16:00:00+01:00,1584630000000,15,0,0,7.849124,51.026592,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Paderborn (Kreis),2020-03-19T16:00:00+01:00,1584630000000,59,0,0,8.740642,51.718539,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Recklinghausen (Kreis),2020-03-19T16:00:00+01:00,1584630000000,80,0,0,7.214087,51.586044,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Remscheid,2020-03-19T16:00:00+01:00,1584630000000,13,0,0,7.180644,51.180907,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Rhein-Erft-Kreis,2020-03-19T16:00:00+01:00,1584630000000,106,0,0,6.69704,50.926461,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,2020-03-19T16:00:00+01:00,1584630000000,60,0,0,7.181018,51.013579,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Rhein-Kreis Neuss,2020-03-19T16:00:00+01:00,1584630000000,50,0,0,6.645946,51.134897,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Rhein-Sieg-Kreis,2020-03-19T16:00:00+01:00,1584630000000,139,0,0,7.297208,50.789159,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Siegen-Wittgenstein (Kreis),2020-03-19T16:00:00+01:00,1584630000000,29,0,0,8.0748,50.892976,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Soest (Kreis),2020-03-19T16:00:00+01:00,1584630000000,49,0,0,8.113109,51.568226,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Solingen,2020-03-19T16:00:00+01:00,1584630000000,32,0,0,7.070708,51.176385,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Steinfurt (Kreis),2020-03-19T16:00:00+01:00,1584630000000,138,0,0,7.331065,52.144456,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Unna (Kreis),2020-03-19T16:00:00+01:00,1584630000000,46,0,0,7.685846,51.537065,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Viersen (Kreis),2020-03-19T16:00:00+01:00,1584630000000,59,0,0,6.396321,51.254239,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Warendorf (Kreis),2020-03-19T16:00:00+01:00,1584630000000,111,0,0,7.992631,51.95119,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Wesel (Kreis),2020-03-19T16:00:00+01:00,1584630000000,132,0,0,6.625631,51.664636,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Nordrhein-Westfalen,Wuppertal,2020-03-19T16:00:00+01:00,1584630000000,50,0,0,7.143049,51.265292,"Ministerium für Arbeit, Gesundheit und Soziales NRW",https://www.mags.nrw/coronavirus-fallzahlen-nrw,regio
Niedersachsen,Ammerland (Kreis),2020-03-19T15:00:00+01:00,1584626400000,14,0,0,8.013506,53.191156,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Aurich (Kreis),2020-03-19T15:00:00+01:00,1584626400000,19,0,0,7.484558,53.472037,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Celle (Kreis),2020-03-19T15:00:00+01:00,1584626400000,25,0,0,10.067616,52.616251,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Cloppenburg (Kreis),2020-03-19T15:00:00+01:00,1584626400000,2,0,0,8.050926,52.849613,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Cuxhaven (Kreis),2020-03-19T15:00:00+01:00,1584626400000,18,0,0,8.693474,53.859527,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Diepholz (Kreis),2020-03-19T15:00:00+01:00,1584626400000,32,0,0,8.368818,52.606262,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Emsland (Kreis),2020-03-19T15:00:00+01:00,1584626400000,30,0,0,7.396108,52.742567,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Friesland (Kreis),2020-03-19T15:00:00+01:00,1584626400000,3,0,0,7.902233,53.788351,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
Niedersachsen,Gifhorn (Kreis),2020-03-19T15:00:00+01:00,1584626400000,23,0,0,10.54821,52.478198,Niedersächsisches Gesundheitsministerium,https://www.niedersachsen.de/coronavirus,regio
